CouncillorId,CouncillorBioId,CouncillorName,Rat,Fraktion,Kanton,Geburtsdatum,Vereidigungsdatum
2619,1153,Noser Ruedi,NR,RL,ZH,1961-04-14,2015-11-30
2702,3899,Nussbaumer Eric,NR,S,BL,1960-07-11,2015-11-30
3090,4169,Page Pierre-André,NR,V,FR,1960-04-19,2015-11-30
2773,4073,Pantani Roberta,NR,V,TI,1965-09-19,2015-11-30
2751,4045,Pardini Corrado,NR,S,BE,1965-06-19,2015-11-30
2621,1108,Parmelin Guy,NR,V,VD,1959-11-09,2015-11-30
2784,4084,Pezzatti Bruno,NR,RL,ZG,1951-03-04,2015-11-30
2623,1109,Pfister Gerhard,NR,C,ZG,1962-10-01,2015-11-30
2781,4065,Pieren Nadja,NR,V,BE,1980-02-14,2015-11-30
3009,4109,Piller Carrard Valérie,NR,S,FR,1978-09-09,2015-11-30
3043,4141,Portmann Hans-Peter,NR,RL,ZH,1963-02-22,2015-11-30
2779,4066,Quadranti Rosmarie,NR,BD,ZH,1957-07-18,2015-11-30
2752,4046,Quadri Lorenzo,NR,V,TI,1974-11-05,2015-11-30
2776,4072,Regazzi Fabio,NR,C,TI,1962-06-22,2015-11-30
2704,3901,Reimann Lukas,NR,V,SG,1982-09-18,2015-11-30
2147,173,Reimann Maximilian,NR,V,AG,1942-05-07,2015-11-30
2795,4091,Reynard Mathias,NR,S,VS,1987-09-07,2015-11-30
2705,3902,Rickli Natalie Simone,NR,V,ZH,1976-11-19,2015-11-30
2525,502,Riklin Kathy,NR,C,ZH,1952-10-21,2015-11-30
2627,1119,Rime Jean-François,NR,V,FR,1950-06-28,2015-11-30
2754,4052,Ritter Markus,NR,C,SG,1967-04-19,2015-11-30
3025,4120,Romano Marco,NR,C,TI,1982-11-06,2015-11-30
3010,4100,Rösti Albert,NR,V,BE,1967-08-07,2015-11-30
3045,4143,Ruiz Rebecca Ana,NR,S,VD,1982-02-04,2015-11-30
3091,4170,Ruppen Franz,NR,V,VS,1971-02-24,2015-11-30
3030,4125,Rutz Gregor A.,NR,V,ZH,1972-10-12,2015-11-30
3000,4095,Rytz Regula,NR,G,BE,1962-03-02,2015-11-30
3092,4172,Salzmann Werner,NR,V,BE,1962-11-05,2015-11-30
3103,4202,Sauter Regine,NR,RL,ZH,1966-04-16,2015-11-30
2654,1318,Schelbert Louis,NR,G,LU,1952-10-31,2015-11-30
2630,1129,Schenker Silvia,NR,S,BS,1954-01-17,2015-11-30
3029,4124,Schilliger Peter,NR,RL,LU,1959-06-01,2015-11-30
2707,3904,Schmid-Federer Barbara,NR,C,ZH,1965-11-10,2015-11-30
2708,3905,Schmidt Roberto,NR,C,VS,1962-07-16,2015-11-30
2766,4060,Schneeberger Daniela,NR,RL,BL,1967-09-19,2015-11-30
2748,4040,Schneider-Schneiter Elisabeth,NR,C,BL,1964-02-19,2015-11-30
3020,4115,Schwaab Jean Christophe,NR,S,VD,1979-08-23,2015-11-30
2631,1159,Schwander Pirmin,NR,V,SZ,1961-12-28,2015-11-30
3094,4199,Seiler Graf Priska,NR,S,ZH,1968-08-29,2015-11-30
2417,354,Semadeni Silva,NR,S,GR,1952-02-08,2015-11-30
3095,4173,Sollberger Sandra,NR,V,BL,1973-10-27,2015-11-30
2632,1120,Sommaruga Carlo,NR,S,GE,1959-07-08,2015-11-30
2536,514,Stahl Jürg,NR,V,ZH,1968-01-16,2015-11-30
2323,214,Stamm Luzi,NR,V,AG,1952-09-09,2015-11-30
2669,3865,Steiert Jean-François,NR,S,FR,1961-02-07,2015-11-30
3096,4174,Steinemann Barbara,NR,V,ZH,1976-06-18,2015-11-30
2747,4036,Streiff-Feller Marianne,NR,C,BE,1957-08-17,2015-11-30
2710,3907,Thorens Goumaz Adèle,NR,G,VD,1971-12-15,2015-11-30
3007,4113,Tornare Manuel,NR,S,GE,1951-04-20,2015-11-30
2328,224,Tschäppät Alexander,NR,S,BE,1952-04-16,2015-11-30
3097,4175,Tuena Mauro,NR,V,ZH,1972-01-25,2015-11-30
2761,4054,Vitali Albert,NR,RL,LU,1955-06-26,2015-11-30
2787,4085,Vogler Karl,NR,C,OW,1956-03-24,2015-11-30
3098,4176,Vogt Hans-Ueli,NR,V,ZH,1969-12-05,2015-11-30
2713,3910,von Siebenthal Erich,NR,V,BE,1958-12-30,2015-11-30
3099,4177,Walliser Bruno,NR,V,ZH,1966-04-11,2015-11-30
2541,519,Walter Hansjörg,NR,V,TG,1951-02-05,2015-11-30
3044,4142,Walti Beat,NR,RL,ZH,1968-11-22,2015-11-30
2715,3912,Wasserfallen Christian,NR,RL,BE,1981-06-30,2015-11-30
3100,4194,Wehrli Laurent,NR,RL,VD,1965-06-04,2015-11-30
2728,3931,Weibel Thomas,NR,GL,ZH,1954-07-14,2015-11-30
2759,4057,Wermuth Cédric,NR,S,AG,1986-02-19,2015-11-30
2638,1142,Wobmann Walter,NR,V,SO,1957-11-21,2015-11-30
3101,4178,Zanetti Claudio,NR,V,ZH,1967-06-16,2015-11-30
3102,4179,Zuberbühler David,NR,V,AR,1979-02-20,2015-11-30
3104,4203,Barrile Angelo,NR,S,ZH,1976-08-22,2015-12-08
3110,4209,Bigler Hans-Ulrich,NR,RL,ZH,1958-04-05,2015-12-08
2764,4071,Gasche Urs,NR,BD,BE,1955-03-15,2015-12-08
3055,4154,Addor Jean-Luc,NR,V,VS,1964-04-22,2015-11-30
2670,3867,Aebi Andreas,NR,V,BE,1958-11-26,2015-11-30
2760,4049,Aebischer Matthias,NR,S,BE,1967-10-18,2015-11-30
2758,4053,Aeschi Thomas,NR,V,ZG,1979-01-13,2015-11-30
2583,1131,Allemann Evi,NR,S,BE,1978-07-16,2015-11-30
3014,4107,Amarelle Cesla,NR,S,VD,1973-09-14,2015-11-30
2796,4090,Amaudruz Céline,NR,V,GE,1979-03-15,2015-11-30
2646,1288,Amherd Viola,NR,C,VS,1962-06-07,2015-11-30
3056,4180,Ammann Thomas,NR,C,SG,1964-07-13,2015-11-30
2584,1135,Amstutz Adrian,NR,V,BE,1953-12-02,2015-11-30
3057,4155,Arnold Beat,NR,V,UR,1978-04-24,2015-11-30
3058,4184,Arslan Sibel,NR,G,BS,1980-06-23,2015-11-30
2762,4058,Badran Jacqueline,NR,S,ZH,1961-11-12,2015-11-30
3040,4138,Barazzone Guillaume,NR,C,GE,1982-01-13,2015-11-30
3059,4187,Bauer Philippe,NR,RL,NE,1962-04-09,2015-11-30
2585,1138,Bäumle Martin,NR,GL,ZH,1964-06-03,2015-11-30
3060,4182,Béglé Claude,NR,C,VD,1949-12-04,2015-11-30
3016,4102,Bertschy Kathrin,NR,GL,BE,1979-07-02,2015-11-30
2743,4030,Birrer-Heimo Prisca,NR,S,LU,1959-02-04,2015-11-30
3061,4188,Borloz Frédéric,NR,RL,VD,1966-04-22,2015-11-30
2675,3872,Bourgeois Jacques,NR,RL,FR,1958-03-14,2015-11-30
2772,4067,Brand Heinz,NR,V,GR,1955-09-06,2015-11-30
2023,724,Brélaz Daniel,NR,G,VD,1950-01-04,2015-11-30
2372,307,Brunner Toni,NR,V,SG,1974-08-23,2015-11-30
2740,4025,Büchel Roland Rino,NR,V,SG,1965-10-08,2015-11-30
2588,1104,Büchler Jakob,NR,C,SG,1952-05-29,2015-11-30
3062,4156,Buffat Michaël,NR,V,VD,1979-09-27,2015-11-30
3063,4157,Bühler Manfred,NR,V,BE,1979-04-10,2015-11-30
3017,4101,Bulliard-Marbach Christine,NR,C,FR,1959-10-13,2015-11-30
3064,4158,Burgherr Thomas,NR,V,AG,1962-08-01,2015-11-30
3065,4189,Burkart Thierry,NR,RL,AG,1975-08-21,2015-11-30
2790,4086,Buttet Yannick,NR,C,VS,1977-07-12,2015-11-30
3066,4200,Campell Duri,NR,BD,GR,1963-04-05,2015-11-30
2770,4070,Candinas Martin,NR,C,GR,1980-08-20,2015-11-30
2666,3830,Carobbio Guscetti Marina,NR,S,TI,1966-06-12,2015-11-30
2664,3828,Cassis Ignazio,NR,RL,TI,1961-04-13,2015-11-30
3604,4108,Chevalley Isabelle,NR,GL,VD,1972-04-13,2015-11-30
3067,4159,Chiesa Marco,NR,V,TI,1974-10-10,2015-11-30
3037,4135,Clottu Raymond,NR,V,NE,1967-12-18,2015-11-30
2593,1124,de Buman Dominique,NR,C,FR,1956-04-28,2015-11-30
2757,4051,de Courten Thomas,NR,V,BL,1966-07-29,2015-11-30
3068,4201,de la Reussille Denis,NR,G,NE,1960-10-24,2015-11-30
2788,4079,Derder Fathi,NR,RL,VD,1970-12-04,2015-11-30
3069,4160,Dettling Marcel,NR,V,SZ,1981-02-01,2015-11-30
3070,4190,Dobler Marcel,NR,RL,SG,1980-08-29,2015-11-30
3005,4110,Egloff Hans,NR,V,ZH,1959-11-27,2015-11-30
2678,3875,Eichenberger-Walther Corina,NR,RL,AG,1954-10-14,2015-11-30
2679,3876,Estermann Yvette,NR,V,LU,1967-02-26,2015-11-30
2287,74,Eymann Christoph,NR,RL,BS,1951-01-15,2015-11-30
2767,4056,Fässler Daniel,NR,C,AI,1960-08-22,2015-11-30
3071,4195,Fehlmann Rielle Laurence,NR,S,GE,1955-09-11,2015-11-30
2789,4077,Feller Olivier,NR,RL,VD,1974-08-30,2015-11-30
2777,4069,Feri Yvonne,NR,S,AG,1966-03-21,2015-11-30
2680,3877,Fiala Doris,NR,RL,ZH,1957-01-29,2015-11-30
2765,4059,Flach Beat,NR,GL,AG,1965-01-21,2015-11-30
2681,3878,Flückiger-Bäni Sylvia,NR,V,AG,1952-06-01,2015-11-30
2594,1122,Fluri Kurt,NR,RL,SO,1955-08-19,2015-11-30
2750,4042,Frehner Sebastian,NR,V,BS,1973-09-02,2015-11-30
3072,4185,Fricker Jonas,NR,G,AG,1977-03-30,2015-11-30
2778,4074,Fridez Pierre-Alain,NR,S,JU,1957-11-20,2015-11-30
3035,4131,Friedl Claudia,NR,S,SG,1960-07-19,2015-11-30
2597,1125,Galladé Chantal,NR,S,ZH,1972-12-17,2015-11-30
2683,3880,Geissbühler Andrea Martina,NR,V,BE,1976-08-03,2015-11-30
3073,4191,Genecand Benoît,NR,RL,GE,1964-01-28,2015-11-30
2292,91,Giezendanner Ulrich,NR,V,AG,1953-10-31,2015-11-30
2685,3882,Girod Bastien,NR,G,ZH,1980-12-21,2015-11-30
2657,1337,Glanzmann-Hunkeler Ida,NR,C,LU,1958-09-29,2015-11-30
3074,4161,Glarner Andreas,NR,V,AG,1962-10-09,2015-11-30
3003,4093,Glättli Balthasar,NR,G,ZH,1972-02-12,2015-11-30
3001,4096,Gmür Alois,NR,C,SZ,1955-04-03,2015-11-30
3075,4181,Gmür-Schönenberger Andrea,NR,C,LU,1964-07-17,2015-11-30
3039,4137,Golay Roger,NR,V,GE,1959-09-23,2015-11-30
3023,4116,Gössi Petra,NR,RL,SZ,1976-01-12,2015-11-30
2569,806,Graf Maya,NR,G,BL,1962-02-28,2015-11-30
2652,1295,Graf-Litscher Edith,NR,S,TG,1964-03-25,2015-11-30
2688,3885,Grin Jean-Pierre,NR,V,VD,1947-03-16,2015-11-30
2786,4083,Grossen Jürg,NR,GL,BE,1969-08-24,2015-11-30
2689,3886,Grunder Hans,NR,BD,BE,1956-06-13,2015-11-30
3076,4162,Grüter Franz,NR,V,LU,1963-07-29,2015-11-30
2798,4087,Gschwind Jean-Paul,NR,C,JU,1952-10-31,2015-11-30
2785,4082,Guhl Bernhard,NR,BD,AG,1972-06-10,2015-11-30
3077,4196,Guldimann Tim,NR,S,ZH,1950-09-19,2015-11-30
3026,4121,Gysi Barbara,NR,S,SG,1964-05-14,2015-11-30
2792,4076,Hadorn Philipp,NR,S,SO,1967-02-06,2015-11-30
2763,4061,Hardegger Thomas,NR,S,ZH,1956-04-02,2015-11-30
3051,4149,Häsler Christine,NR,G,BE,1963-01-11,2015-11-30
3002,4103,Hausammann Markus,NR,V,TG,1964-09-20,2015-11-30
2690,3887,Heer Alfred,NR,V,ZH,1961-10-12,2015-11-30
2601,1156,Heim Bea,NR,S,SO,1946-04-07,2015-11-30
3033,4129,Herzog Verena,NR,V,TG,1956-02-07,2015-11-30
3078,4163,Hess Erich,NR,V,BE,1981-03-25,2015-11-30
3079,4192,Hess Hermann,NR,RL,TG,1951-12-22,2015-11-30
2799,4094,Hess Lorenz,NR,BD,BE,1961-06-28,2015-11-30
2691,3888,Hiltpold Hugues,NR,RL,GE,1969-05-05,2015-11-30
2580,1071,Humbel Ruth,NR,C,AG,1957-07-23,2015-11-30
2693,3890,Hurter Thomas,NR,V,SH,1963-11-01,2015-11-30
3080,4164,Imark Christian,NR,V,SO,1982-01-29,2015-11-30
2744,4031,Ingold Maja,NR,C,ZH,1948-05-23,2015-11-30
2745,4032,Jans Beat,NR,S,BS,1964-07-12,2015-11-30
3109,4208,Jauslin Matthias Samuel,NR,RL,AG,1962-04-20,2015-11-30
2694,3891,Jositsch Daniel,NR,S,ZH,1965-03-25,2015-11-30
3013,4098,Keller Peter,NR,V,NW,1971-04-22,2015-11-30
3081,4165,Keller-Inhelder Barbara,NR,V,SG,1968-08-24,2015-11-30
2608,1147,Kiener Nellen Margret,NR,S,BE,1953-04-17,2015-11-30
3021,4114,Knecht Hansjörg,NR,V,AG,1960-03-24,2015-11-30
3082,4166,Köppel Roger,NR,V,ZH,1965-03-21,2015-11-30
2735,4008,Landolt Martin,NR,BD,GL,1968-06-30,2015-11-30
2129,487,Leutenegger Oberholzer Susanne,NR,S,BL,1948-03-06,2015-11-30
3024,4118,Lohr Christian,NR,C,TG,1962-04-05,2015-11-30
2698,3895,Lüscher Christian,NR,RL,GE,1963-12-06,2015-11-30
2738,4018,Maire Jacques-André,NR,S,NE,1957-05-27,2015-11-30
3083,4183,Marchand-Balet Géraldine,NR,C,VS,1971-01-18,2015-11-30
2614,1139,Markwalder Christa,NR,RL,BE,1975-07-27,2015-11-30
2726,3923,Marra Ada,NR,S,VD,1973-03-10,2015-11-30
3084,4197,Marti Min Li,NR,S,ZH,1974-06-01,2015-11-30
3085,4167,Martullo-Blocher Magdalena,NR,V,GR,1969-08-13,2015-11-30
3034,4130,Masshardt Nadine,NR,S,BE,1984-10-04,2015-11-30
3046,4144,Matter Thomas,NR,V,ZH,1966-03-23,2015-11-30
3086,4186,Mazzone Lisa,NR,G,GE,1988-01-25,2015-11-30
3042,4140,Merlini Giovanni,NR,RL,TI,1962-05-27,2015-11-30
3087,4198,Meyer Mattea,NR,S,ZH,1987-11-09,2015-11-30
2660,1346,Moret Isabelle,NR,RL,VD,1970-12-30,2015-11-30
2700,3897,Moser Tiana Angelina,NR,GL,ZH,1979-04-06,2015-11-30
3012,4097,Müller Leo,NR,C,LU,1958-07-04,2015-11-30
2661,1345,Müller Thomas,NR,V,SG,1952-12-01,2015-11-30
2617,1137,Müller Walter,NR,RL,SG,1948-04-25,2015-11-30
2771,4063,Müller-Altermatt Stefan,NR,C,SO,1976-06-17,2015-11-30
3036,4134,Munz Martina,NR,S,SH,1955-12-26,2015-11-30
2618,1111,Müri Felix,NR,V,LU,1958-01-22,2015-11-30
3018,4106,Naef Martin,NR,S,ZH,1970-11-10,2015-11-30
3088,4193,Nantermod Philippe,NR,RL,VS,1984-03-27,2015-11-30
3089,4168,Nicolet Jacques,NR,V,VD,1965-10-24,2015-11-30
2701,3898,Nidegger Yves,NR,V,GE,1957-05-17,2015-11-30
2648,1279,Nordmann Roger,NR,S,VD,1973-03-23,2015-11-30
2619,1153,Noser Ruedi,NR,RL,ZH,1961-04-14,2015-11-30
2702,3899,Nussbaumer Eric,NR,S,BL,1960-07-11,2015-11-30
3090,4169,Page Pierre-André,NR,V,FR,1960-04-19,2015-11-30
2773,4073,Pantani Roberta,NR,V,TI,1965-09-19,2015-11-30
2751,4045,Pardini Corrado,NR,S,BE,1965-06-19,2015-11-30
2621,1108,Parmelin Guy,NR,V,VD,1959-11-09,2015-11-30
2784,4084,Pezzatti Bruno,NR,RL,ZG,1951-03-04,2015-11-30
2623,1109,Pfister Gerhard,NR,C,ZG,1962-10-01,2015-11-30
2781,4065,Pieren Nadja,NR,V,BE,1980-02-14,2015-11-30
3009,4109,Piller Carrard Valérie,NR,S,FR,1978-09-09,2015-11-30
3043,4141,Portmann Hans-Peter,NR,RL,ZH,1963-02-22,2015-11-30
2779,4066,Quadranti Rosmarie,NR,BD,ZH,1957-07-18,2015-11-30
2752,4046,Quadri Lorenzo,NR,V,TI,1974-11-05,2015-11-30
2776,4072,Regazzi Fabio,NR,C,TI,1962-06-22,2015-11-30
2704,3901,Reimann Lukas,NR,V,SG,1982-09-18,2015-11-30
2147,173,Reimann Maximilian,NR,V,AG,1942-05-07,2015-11-30
2795,4091,Reynard Mathias,NR,S,VS,1987-09-07,2015-11-30
2705,3902,Rickli Natalie Simone,NR,V,ZH,1976-11-19,2015-11-30
2525,502,Riklin Kathy,NR,C,ZH,1952-10-21,2015-11-30
2627,1119,Rime Jean-François,NR,V,FR,1950-06-28,2015-11-30
2754,4052,Ritter Markus,NR,C,SG,1967-04-19,2015-11-30
3025,4120,Romano Marco,NR,C,TI,1982-11-06,2015-11-30
3010,4100,Rösti Albert,NR,V,BE,1967-08-07,2015-11-30
3045,4143,Ruiz Rebecca Ana,NR,S,VD,1982-02-04,2015-11-30
3091,4170,Ruppen Franz,NR,V,VS,1971-02-24,2015-11-30
3030,4125,Rutz Gregor A.,NR,V,ZH,1972-10-12,2015-11-30
3000,4095,Rytz Regula,NR,G,BE,1962-03-02,2015-11-30
3092,4172,Salzmann Werner,NR,V,BE,1962-11-05,2015-11-30
3103,4202,Sauter Regine,NR,RL,ZH,1966-04-16,2015-11-30
2654,1318,Schelbert Louis,NR,G,LU,1952-10-31,2015-11-30
2630,1129,Schenker Silvia,NR,S,BS,1954-01-17,2015-11-30
3029,4124,Schilliger Peter,NR,RL,LU,1959-06-01,2015-11-30
2707,3904,Schmid-Federer Barbara,NR,C,ZH,1965-11-10,2015-11-30
2708,3905,Schmidt Roberto,NR,C,VS,1962-07-16,2015-11-30
2766,4060,Schneeberger Daniela,NR,RL,BL,1967-09-19,2015-11-30
2748,4040,Schneider-Schneiter Elisabeth,NR,C,BL,1964-02-19,2015-11-30
3020,4115,Schwaab Jean Christophe,NR,S,VD,1979-08-23,2015-11-30
2631,1159,Schwander Pirmin,NR,V,SZ,1961-12-28,2015-11-30
3094,4199,Seiler Graf Priska,NR,S,ZH,1968-08-29,2015-11-30
2417,354,Semadeni Silva,NR,S,GR,1952-02-08,2015-11-30
3095,4173,Sollberger Sandra,NR,V,BL,1973-10-27,2015-11-30
2632,1120,Sommaruga Carlo,NR,S,GE,1959-07-08,2015-11-30
2536,514,Stahl Jürg,NR,V,ZH,1968-01-16,2015-11-30
2323,214,Stamm Luzi,NR,V,AG,1952-09-09,2015-11-30
2669,3865,Steiert Jean-François,NR,S,FR,1961-02-07,2015-11-30
3096,4174,Steinemann Barbara,NR,V,ZH,1976-06-18,2015-11-30
2747,4036,Streiff-Feller Marianne,NR,C,BE,1957-08-17,2015-11-30
2710,3907,Thorens Goumaz Adèle,NR,G,VD,1971-12-15,2015-11-30
3007,4113,Tornare Manuel,NR,S,GE,1951-04-20,2015-11-30
2328,224,Tschäppät Alexander,NR,S,BE,1952-04-16,2015-11-30
3097,4175,Tuena Mauro,NR,V,ZH,1972-01-25,2015-11-30
2761,4054,Vitali Albert,NR,RL,LU,1955-06-26,2015-11-30
2787,4085,Vogler Karl,NR,C,OW,1956-03-24,2015-11-30
3098,4176,Vogt Hans-Ueli,NR,V,ZH,1969-12-05,2015-11-30
2713,3910,von Siebenthal Erich,NR,V,BE,1958-12-30,2015-11-30
3099,4177,Walliser Bruno,NR,V,ZH,1966-04-11,2015-11-30
2541,519,Walter Hansjörg,NR,V,TG,1951-02-05,2015-11-30
3044,4142,Walti Beat,NR,RL,ZH,1968-11-22,2015-11-30
2715,3912,Wasserfallen Christian,NR,RL,BE,1981-06-30,2015-11-30
3100,4194,Wehrli Laurent,NR,RL,VD,1965-06-04,2015-11-30
2728,3931,Weibel Thomas,NR,GL,ZH,1954-07-14,2015-11-30
2759,4057,Wermuth Cédric,NR,S,AG,1986-02-19,2015-11-30
2638,1142,Wobmann Walter,NR,V,SO,1957-11-21,2015-11-30
3101,4178,Zanetti Claudio,NR,V,ZH,1967-06-16,2015-11-30
3102,4179,Zuberbühler David,NR,V,AR,1979-02-20,2015-11-30
3104,4203,Barrile Angelo,NR,S,ZH,1976-08-22,2015-12-08
3110,4209,Bigler Hans-Ulrich,NR,RL,ZH,1958-04-05,2015-12-08
2764,4071,Gasche Urs,NR,BD,BE,1955-03-15,2015-12-08